agent_name,llm_model_used,llm_provider,timestamp,latency_ms,tokens_used,tokens_input,tokens_output,error_occurred,error_message,retry_attempt,input_preview,output_preview
ClassifierAgent,llama-3.1-8b-instant,groq,2026-02-23 10:51:52.000,466.38068474690334,675,520,159,False,,0,"--- Document: id_passport.txt ---
Content excerpt ","{""agent"": ""ClassifierAgent"", ""status"": ""completed"""
ExtractorAgent,llama-3.3-70b-versatile,groq,2026-02-23 10:51:52.466,1133.8276242034253,718,528,244,False,,0,"--- Document: id_passport.txt ---
Content excerpt ","{""agent"": ""ExtractorAgent"", ""status"": ""completed"","
ValidatorAgent,llama-3.3-70b-versatile,groq,2026-02-23 10:51:53.600,381.44894810906715,816,953,424,False,,0,"--- Document: id_passport.txt ---
Content excerpt ","{""agent"": ""ValidatorAgent"", ""status"": ""completed"","
RedactorAgent,llama-3.1-8b-instant,groq,2026-02-23 10:51:53.981,1397.0389707743282,914,1177,564,False,,0,"--- Document: id_passport.txt ---
Content excerpt ","{""agent"": ""RedactorAgent"", ""status"": ""completed"", "
